19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:31 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_SET_COMMAND
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:32 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
19:07:33 | INFO 	 sending MSP_RAW_RC
